	nrooms	meters	floor	floors_total	flat_or_appart	zh_comp	deadline	to_metro	district	area	metro	mainprice	price_per_meter	otdelka	developer
0						ЖК «River Park Towers Кутузовский»		5 минут пешком	ЗАО	р-н Дорогомилово	м. Фили	22450632	524547		Аеон-Девелопмент
1						ЖК «ÁLIA»	сдача ГК: 2 кв. 2023 года	7 минут пешком	СЗАО	р-н Покровское-Стрешнево	м. Спартак	16122800	335472		ASTERUS
2	1	51,2	41	66	A	ЖК «NEVA TOWERS»	дом сдан	3 минуты пешком	ЦАО	р-н Пресненский	м. Выставочная	43724800	854000		Тауэрс
3	1	49,8	2	18	F	ЖК «Luzhniki Collection»	сдача ГК: 4 кв. 2026 года	15 минут пешком	ЦАО	р-н Хамовники	м. Воробьёвы горы	33471000	672108		Absolute Premium
4						ЖК «Famous»	сдача ГК: 4 кв. 2023 года	5 минут пешком	ЗАО	р-н Филевский парк	м. Фили	20837134	543908		MR Group
5						ЖК «Hide»	сдача ГК: 4 кв. 2023 года	3 минуты на транспорте	ЗАО	р-н Раменки	м. Лужники	27882490	627984		MR Group
6	1	45,7	2	17	A	ЖК «Комплекс апартаментов Slava»	дом сдан	4 минуты пешком	САО	р-н Беговой	м. Белорусская	28845672	631196		MR Group
7	1	76,6	4	6	F	ЖК «Обыденский №1»	сдача ГК: 1 кв. 2026 года	7 минут на транспорте	ЦАО	р-н Хамовники		186600000	2436031		Sminex-Интеко
8	1	55,8	5	11	F	ЖК «OPUS»	сдача ГК: 3 кв. 2025 года	15 минут пешком	ЮАО	р-н Даниловский	м. Павелецкая	42587787	763222		Пионер
9						ЖК «Lucky»	сдача ГК: 1 кв. 2023 года	7 минут пешком	ЦАО	р-н Пресненский	м. Улица 1905 года	55777772	1111111		VESPER
10	1	57	5	8	F	ЖК «Тессинский, 1»		15 минут пешком	ЦАО	р-н Таганский	м. Китай-город	76494000	1342000		Стрелецкая Слобода
11						ЖК «AHEAD»	сдача ГК: 4 кв. 2024 года	11 минут пешком	ЗАО	р-н Филевский парк	м. Филёвский парк	36185160	521400		VOSHOD
12	1	53,17	2	9	A	ЖК «CULT (Апартаменты премиум-класса)»	сдача ГК: 4 кв. 2023 года	1 минута пешком	ЦАО	р-н Якиманка	м. Октябрьская	55090638	1036123		GRAVION
13						ЖК «PRIDE»		13 минут пешком	СВАО	р-н Марьина роща	м. Савёловская	16106665	500207		Пионер
14	1	75,3	5	11	F	ЖК «OPUS»	сдача ГК: 3 кв. 2025 года	15 минут пешком	ЮАО	р-н Даниловский	м. Павелецкая	57168738	759213		Пионер
15						ЖК «SYMPHONY 34»		8 минут пешком	САО	р-н Савеловский	м. Дмитровская	18472662	491033	С отделкой	MR Group
16	1	52,1	3	3	F			4 минуты пешком	ЦАО	р-н Басманный	м. Китай-город	52000000	998081		ID 413522
17						ЖК «Republic»	сдача ГК: 4 кв. 2025 года	14 минут пешком	ЦАО	р-н Пресненский	м. Белорусская	29170858	736266		Forma
18	1	44,9	6	19	F	ЖК «Остров»	сдача ГК: 1 кв. 2025 года	1 минута пешком	СЗАО	р-н Хорошево-Мневники	м. Терехово 	25606470	570300		Донстрой
19	1	94	4	8	F	ЖК «Парк Палас»		10 минут пешком	ЦАО	р-н Хамовники	м. Кропоткинская	100000000	1063830		Ramenky Realty
20	1	59,2	6	12	F	ЖК «Вишневый сад»		7 минут на транспорте	ЗАО	р-н Раменки	м. Минская	79600000	1344595		ID 413522
21						ЖК «Mod»	сдача ГК: 4 кв. 2024 года	6 минут пешком	СВАО	р-н Марьина роща	м. Марьина роща	18001920	439500		MR Group
22	1	45,85	5	17	F	ЖК «Преображенская площадь»	сдача ГК: 3 кв. 2024 года	5 минут пешком	ВАО	р-н Преображенское	м. Преображенская площадь	19429743	423768		Regions Development
23						ЖК «Wellton Towers»		10 минут пешком	СЗАО	р-н Хорошево-Мневники	м. Народное Ополчение	21700000	563636		Место
24	1	50,2	16	24	F	ЖК «HIGH LIFE Летниковская, 11»		9 минут пешком	ЮАО	р-н Даниловский	м. Павелецкая	33159459	660547		Пионер
25	1	44,94	3	24	F	ЖК «Dream Towers»	сдача ГК: 2 кв. 2023 года	5 минут пешком	ЮАО	р-н Нагатинский затон	м. Технопарк	21396534	476113		Regions Development
26	1	48,3	12	18	F	ЖК «Бадаевский»	сдача ГК: 4 кв. 2025 года	16 минут пешком	ЗАО	р-н Дорогомилово	м. Киевская	50232000	1040000		Capital Group
27	1	53,57	3	6	A	ЖК «Клубный дом Космо 4/22»		15 минут пешком	ЦАО	р-н Замоскворечье	м. Новокузнецкая	49402254	922200		Галс-Девелопмент
28	1	61,97	5	14	F	ЖК «Садовые кварталы»		6 минут пешком	ЦАО	р-н Хамовники	м. Спортивная	57000000	919800		САДОВЫЕ КВАРТАЛЫ. Офис продаж
29	1	35	9	17	F	ЖК «Прокшино»	сдача ГК: 2 кв. 2023 года	10 минут пешком	НАО (Новомосковский)		м. Прокшино	9700000	277143	ЖК лидер продаж	ОбменРФ - Брусника. Обмен
30	1	46,75	33	65	F	ЖК «Capital Towers»	дом сдан	8 минут пешком	ЦАО	р-н Пресненский	м. Выставочная	46000000	983957		Capital Group
31						ЖК «SOUL»	сдача ГК: 3 кв. 2025 года	4 минуты пешком	САО	р-н Аэропорт	м. Красный Балтиец	17959039	410962		Forma
32	1	69,7	4	7	A	ЖК «De Luxe квартал апартаментов «Театральный Дом»»		5 минут пешком	ЦАО	р-н Арбат	м. Арбатская	67715000	971521		Этажи Москва
33	1	72,6	2	14	F	ЖК «Дом Лаврушинский»	сдача ГК: 2 кв. 2024 года	5 минут пешком	ЦАО	р-н Якиманка	м. Третьяковская	132610000	1826584		Sminex-Интеко
34	1	75,6	6	8	F	ЖК «Turandot Residences»	дом сдан	9 минут пешком	ЦАО	р-н Арбат	м. Арбатская	65016000	860000		Valartis Group
35	1	69,9	5	7	A	ЖК «De Luxe квартал апартаментов «Театральный Дом»»		5 минут пешком	ЦАО	р-н Арбат	м. Арбатская	73043000	1044964		Этажи Москва
36	1	39,3	9	9	F	ЖК «Павелецкая сити»	дом сдан	16 минут пешком	ЮАО	р-н Даниловский	м. Серпуховская	26023373	662172		MR Group
37	1	61,97	5	14	F	ЖК «Садовые кварталы»		6 минут пешком	ЦАО	р-н Хамовники	м. Спортивная	57000000	919800		Времена года
38								10 минут пешком	ЮВАО	р-н Выхино-Жулебино	м. Юго-Восточная	8200000	252308		Суламит-НГС
39	1	72,9	2	5	F	ЖК «Artisan»	дом сдан	6 минут пешком	ЦАО	р-н Арбат	м. Смоленская	72900000	1000000		Valartis Group
40	1	39,9	11	13	A	ЖК «Logos»	сдача ГК: 3 кв. 2024 года	8 минут пешком	ЮАО	р-н Даниловский	м. Тульская	22068575	553097		Логос
41	1	41,1	15	43	F	ЖК «Sydney City»	сдача ГК: 1 кв. 2023 года	20 минут пешком	СЗАО	р-н Хорошево-Мневники	м. Хорошёво	20590000	500973	С отделкой	АЯКС
42	1	40,05	1	5	A	ЖК «Ильинка 3/8»	сдача ГК: 4 кв. 2024 года	2 минуты пешком	ЦАО	р-н Тверской	м. Площадь Революции	81060000	2023970		Sminex-Интеко
43	1	40,4	17	41	F	ЖК «Прайм Парк»		11 минут пешком	САО	р-н Хорошевский	м. Аэропорт	25000000	618812		White and Broughton
44	1	101	2	14	F	ЖК «Хамовники 12»		13 минут пешком	ЦАО	р-н Хамовники	м. Киевская	160192329	1586063		COLDY
45	1	71,9	2	12	F	ЖК «Река»	сдача ГК: 2 кв. 2024 года	12 минут пешком	ЗАО	р-н Раменки	м. Мичуринский проспект	48856050	679500		Донстрой
46	1	46,4	19	32	F	ЖК «Событие»	сдача ГК: 1 кв. 2025 года	10 минут пешком	ЗАО	р-н Раменки	м. Мичуринский проспект	24573440	529600		ДОНСТРОЙ
47	1	48,73	5	8	A	ЖК «Lunar»	сдача ГК: 4 кв. 2023 года	13 минут пешком	ЮЗАО	р-н Гагаринский	м. Ленинский проспект	31000000	636158	С отделкой	Hutton Development
48	1	44,8	7	25	F	ЖК «Клубный дом Full House»	сдача ГК: 1 кв. 2024 года	6 минут на транспорте	ЗАО	р-н Тропарево-Никулино		20885760	466200		Sezar Group
49								10 минут пешком	САО	р-н Коптево	м. Коптево	10800000	284211		Excellent real estate
50	1	48,6	12	21	F	ЖК «Интонация»	сдача ГК: 4 кв. 2023 года	9 минут пешком	СЗАО	р-н Щукино	м. Стрешнево	21733920	447200		Мангазея
51	1	71,1	6	13	F	ЖК «Садовые кварталы»		9 минут пешком	ЦАО	р-н Хамовники	м. Спортивная	72000000	1012658		Времена года
52	1	54,4	2	22	F	ЖК «Клубный город на реке Primavera»	сдача ГК: 2 кв. 2025 года	12 минут пешком	СЗАО	р-н Покровское-Стрешнево	м. Спартак	27085760	497900		Стадион Спартак
53						ЖК «Крылья»		8 минут пешком	ЗАО	р-н Раменки	м. Аминьевская	16190000	394878		ALVO Group
54								10 минут пешком	САО	р-н Савеловский	м. Савёловская	12800000	320000		Екатерина Боброва
55	1	61,7	5	15	A	ЖК «Hill8»	дом сдан	4 минуты пешком	СВАО	р-н Останкинский	м. Алексеевская	26186161	424411		СИТИ21
56						ЖК «The Lake»	сдача ГК: 2 кв. 2025 года	10 минут пешком	СВАО	р-н Свиблово	м. Свиблово	20444230	465700		ФСК
57	1	50,3	14	19	F	ЖК «Серебряный фонтан»	дом сдан	10 минут пешком	СВАО	р-н Алексеевский	м. Алексеевская	30280484	601998		Группа Эталон
58						ЖК «Portland»	сдача ГК: 4 кв. 2025 года	17 минут пешком	ЮВАО	р-н Печатники	м. Печатники	14581060	448648		Forma
59	1	30,6	20	34	F	ЖК «Ever»	сдача ГК: 4 кв. 2023 года	8 минут пешком	ЮЗАО	р-н Обручевский	м. Калужская	13300000	434641		ID 74438895
60						ЖК «Shagal»	сдача ГК: 1 кв. 2025 года	2 минуты на транспорте	ЮАО	р-н Даниловский	м. Технопарк	15900000	401515		ID 74438895
61	1	36,9	5	20	F	ЖК «Квартал на набережной NOW»	сдача ГК: 2 кв. 2023 года	15 минут пешком	ЮАО	р-н Даниловский	м. Технопарк	20080980	544200		TEKTA GROUP
62	1	52,8	3	8	A	ЖК «LUMIN»	дом сдан	2 минуты пешком	ЦАО	р-н Таганский	м. Китай-город	44880000	850000		Hutton Development
63	1	39,74	2	20	F	ЖК «FORST»	сдача ГК: 4 кв. 2024 года	14 минут пешком	ЮАО	р-н Даниловский	м. Тульская	15579590	392038		Forma
64	1	48,87	5	15	F	ЖК «Мюр & Мерилиз»	сдача ГК: 1 кв. 2025 года	7 минут пешком	ЦАО	р-н Пресненский	м. Краснопресненская	41114331	841300		KR Properties
65						ЖК «Селигер Сити»	сдача ГК: 3 кв. 2026 года	11 минут пешком	САО	р-н Западное Дегунино	м. Селигерская	12249227	348286		MR Group
66	1	33,2	8	10	F	ЖК «Дзен-кварталы»	сдача ГК: 2 кв. 2025 года	5 минут на транспорте	НАО (Новомосковский)		м. Улица Горчакова	9006527	271281		А101
67	1	45,2	11	27	F	ЖК «Вестердам»	дом сдан	14 минут пешком	ЗАО	р-н Очаково-Матвеевское	м. Аминьевская	17230000	381195		Sminex-Интеко
68						ЖК «Level Причальный»	сдача ГК: 4 кв. 2023 года	10 минут пешком	СЗАО	р-н Хорошево-Мневники	м. Шелепиха	15834210	509139		Level Group
69						ЖК «Level Нагатинская»	сдача ГК: 4 кв. 2023 года	15 минут пешком	ЮАО	р-н Нагатино-Садовники	м. Нагатинская	13419897	395867		Level Group
70	1	36,1	3	35	A	ЖК «Фестиваль парк-2»		7 минут пешком	САО	р-н Левобережный	м. Беломорская	17340598	480349		ТПУ Рассказовка
71	1	23,8	19	44	F	ЖК «Level Мичуринский»	сдача ГК: 3 кв. 2024 года	13 минут пешком	ЗАО	р-н Очаково-Матвеевское	м. Мичуринский проспект	10300000	432773		ID 74438895
72	1	30,9	2	5	F			7 минут пешком	ЦАО	р-н Хамовники	м. Спортивная	22500000	728155		ID 413522
73	1	49	2	15	F	ЖК «Михалковский»		6 минут пешком	САО	р-н Головинский	м. Коптево	13720000	280000		РГ-Девелопмент
74	1	40,3	3	14	F	ЖК «Shagal»	сдача ГК: 3 кв. 2025 года	17 минут пешком	ЮАО	р-н Даниловский	м. Технопарк	15176480	376588		Группа Эталон
75	1	37,2	6	15	F	ЖК «Прокшино»	сдача ГК: 3 кв. 2024 года	15 минут пешком	НАО (Новомосковский)		м. Прокшино	9968779	267978	ЖК лидер продаж	А101
76	1	40,2	3	25	F	ЖК «Авиатика»		11 минут пешком	САО	р-н Хорошевский	м. Беговая	18009600	448000	С отделкой	Э.К. Девелопмент
77	1	33,2	24	24	F	ЖК «Level Южнопортовая»	сдача ГК: 4 кв. 2025 года	9 минут пешком	ЮВАО	р-н Печатники	м. Кожуховская	11568981	348463		Level Group
78	1	30,6	24	34	F	ЖК «Ever»	сдача ГК: 4 кв. 2023 года	6 минут пешком	ЮЗАО	р-н Обручевский	м. Воронцовская	14403420	470700		TEKTA GROUP
79	1	43,6	4	19	F	ЖК «Петровский парк II»		10 минут пешком	САО	р-н Савеловский	м. Гражданская	15608800	358000		РГ-Девелопмент
80	1	37,2	23	27	F	ЖК «Октябрьское поле»		3 минуты на транспорте	СЗАО	р-н Щукино	м. Октябрьское поле	13131600	353000	С отделкой	РГ-Девелопмент
81	1	47,2	4	21	F	ЖК «СОЮЗ»		9 минут пешком	СВАО	р-н Ростокино	м. Ботанический сад	21109600	447237		Группа Родина
82						ЖК «Новоданиловская 8»	сдача ГК: 2 кв. 2023 года	16 минут пешком	ЮАО	р-н Донской	м. Тульская	15990000	434511	С отделкой	OWNSTONE
83	1	36,3	2	15	F	ЖК «Испанские кварталы»	сдача ГК: 4 кв. 2023 года	2 минуты на транспорте	НАО (Новомосковский)		м. Прокшино	11778904	324488	С отделкой	А101
84	1	45,3	23	27	F	ЖК «Era»	сдача ГК: 3 кв. 2026 года	17 минут пешком	ЮАО	р-н Даниловский	м. Павелецкая	19732680	435600		TEKTA GROUP
85	1	48	16	21	F	ЖК «Мосфильмовский»		17 минут пешком	ЗАО	р-н Раменки	м. Раменки	28930000	602708		NF Group - ex-Knight Frank Russia
86						ЖК «Прайм Парк»		13 минут пешком	САО	р-н Хорошевский	м. Аэропорт	29700000	724390		Whitewill
87						ЖК «Архитектор»	сдача ГК: 4 кв. 2023 года	13 минут пешком	ЮЗАО	р-н Обручевский	м. Калужская	19917670	496700		ФСК
88	1	45,2	11	21	A	ЖК «Wellton Gold»	дом сдан	11 минут пешком	СЗАО	р-н Хорошево-Мневники	м. Народное Ополчение	16091200	356000		КРОСТ
89	1	41,78	12	14	F	ЖК «Headliner»	сдача ГК: 2 кв. 2024 года	3 минуты пешком	ЦАО	р-н Пресненский	м. Шелепиха	20890000	500000		КОРТРОС
90						ЖК «ВТБ Арена парк»		10 минут пешком	САО	р-н Аэропорт	м. Петровский Парк	17500000	546875		ID 90196994
91	1	39,4	14	24	A	ЖК «Апартаментный комплекс Level Стрешнево»	сдача ГК: 1 кв. 2024 года	18 минут пешком	СЗАО	р-н Покровское-Стрешнево	м. Тушинская	10612121	269343		Level Group
92	1	43,5	30	32	F	ЖК «ONYX Deluxe»	дом сдан	18 минут пешком	ЮЗАО	р-н Черемушки	м. Калужская	21402000	492000		Ташир
93	1	33,4	2	3	A	ЖК «Апартаменты Берег Яузы»	дом сдан	6 минут пешком	ВАО	р-н Преображенское	м. Преображенская площадь	9352000	280000	С отделкой	Хлебозавод 9
94	1	30,09	5	21	A	ЖК «N’ice Loft»		10 минут пешком	ЮВАО	р-н Нижегородский	м. Калитники	8605740	286000		COLDY
95						ЖК «Движение.Говорово Апарт-комплекс»	сдача ГК: 1 кв. 2025 года	5 минут на транспорте	НАО (Новомосковский)		м. Тропарёво	9469337	270089	С отделкой	ФСК
96	1	40,5	15	19	F	ЖК «Театральный квартал»	сдача ГК: 1 кв. 2024 года	14 минут пешком	СЗАО	р-н Щукино	м. Октябрьское поле	16929000	418000		КРОСТ
97	1	40,5	10	41	F	ЖК «Прайм Парк»	сдача ГК: 2 кв. 2023 года	12 минут пешком	САО	р-н Хорошевский	м. Аэропорт	24877125	614250		Optima Development
98	1	46	12	34	F	ЖК «iLove»	дом сдан	11 минут пешком	СВАО	р-н Останкинский	м. Алексеевская	16500000	358696		КОРТРОС
99						ЖК «Sky Garden»	сдача ГК: 2 кв. 2025 года	19 минут пешком	СЗАО	р-н Покровское-Стрешнево	м. Тушинская	12512022	330133		ФСК
100						ЖК «Метрополия»	сдача ГК: 1 кв. 2023 года	17 минут пешком	ЮВАО	р-н Южнопортовый	м. Волгоградский проспект	14000000	338164	С отделкой	Этажи Москва
101	1	35,6	7	21	F	ЖК «Level Бауманская»	сдача ГК: 4 кв. 2025 года	14 минут пешком	ЦАО	р-н Басманный	м. Электрозаводская	16013630	449821		Level Group
102								5 минут пешком	ЮВАО	р-н Текстильщики	м. Волжская	3500000	291667		Константин Кудрявцев
103	1	39,3	15	28	F	ЖК «Crystal»	сдача ГК: 3 кв. 2025 года	2 минуты на транспорте	СЗАО	р-н Хорошево-Мневники	м. Карамышевская	15169800	386000		КРОСТ
104	1	35,1	3	14	F	ЖК «Скандинавия»	сдача ГК: 3 кв. 2024 года	5 минут на транспорте	НАО (Новомосковский)		м. Ольховая	9536109	271684		А101
105	1	52,6	1	12	F	ЖК «Переделкино Ближнее Город-парк»	сдача ГК: 4 кв. 2023 года	2 минуты на транспорте	НАО (Новомосковский)		м. Рассказовка	12043588	228966		Абсолют Недвижимость
106	1	38,5	15	23	F	ЖК «Квартал Некрасовка»	дом сдан	9 минут пешком	ЮВАО	р-н Некрасовка	м. Некрасовка	9600914	249374	С отделкой	Абсолют Недвижимость
107						ЖК «Сердце Столицы»		14 минут пешком	СЗАО	р-н Хорошево-Мневники	м. Шелепиха	22500000	703125		ZAPAD REALTY - офис Маршала Жукова
108	1	37,68	6	17	A	ЖК «Зорге 9»	сдача ГК: 2 кв. 2023 года	6 минут на транспорте	САО	р-н Хорошевский	м. Зорге	12400000	329087		Cristall Realty
109						ЖК «MainStreet»	дом сдан	4 минуты пешком	ЗАО	р-н Фили-Давыдково	м. Кунцевская	15869056	375155		Основа
110	1	37,7	17	21	F	ЖК «Город-парк Первый Московский»	сдача ГК: 2 кв. 2024 года	7 минут на транспорте	НАО (Новомосковский)		м. Рассказовка	10015066	265652	С отделкой	Абсолют Недвижимость
111	1	46,3	23	30	A	ЖК «МФК Варшавские ворота»		3 минуты пешком	ЮАО	р-н Чертаново Южное	м. Аннино	10602700	229000		РГ-Девелопмент
112	1	46,2	15	23	F	ЖК «Эталон-Сити»		15 минут пешком	ЮЗАО	р-н Южное Бутово	м. Улица Скобелевская	12700000	274892		Dream Realty
113						ЖК «Апарт-комплекс Флотилия»		15 минут пешком	САО	р-н Ховрино	м. Речной вокзал	13900000	265774		ID 101171237
114								17 минут пешком	ВАО	р-н Соколиная гора	м. Семёновская	7700000	405263		ZIP Realty
115						ЖК «balance»		13 минут пешком	ЮВАО	р-н Рязанский	м. Окская	11300000	353125		Homeapp
116	1	26,4	9	9	F			13 минут пешком	ЮВАО	р-н Люблино	м. Братиславская	7505000	284280		ID 96167522
117	1	38	3	16	F			13 минут пешком	ЮВАО	р-н Люблино	м. Люблино	8500000	223684		Навигатор недвижимости
118						ЖК «Крылья»		8 минут пешком	ЗАО	р-н Раменки	м. Аминьевская	16190000	394878		ALVO Group
119						ЖК «Дом на Красина»		15 минут пешком	ЦАО	р-н Пресненский	м. Маяковская	29500000	655556		Chase R.E.S.
120	1	32,1	9	12	F			12 минут пешком	ЗАО	р-н Тропарево-Никулино	м. Юго-Западная	11500000	358255		MERSI
121	1	36,3	4	14	F			5 минут пешком	СВАО	р-н Северное Медведково	м. Медведково	10600000	292011		Ключи
122						ЖК «КутузовGRAD I»		14 минут пешком	ЗАО	р-н Можайский	м. Рабочий посёлок	11320000	377333		ID 257780
123	1	40,9	2	11	F	ЖК «Настоящее»	сдача ГК: 4 кв. 2022 года	5 минут пешком	ЗАО	р-н Раменки	м. Раменки	17500000	427873		Century 21 Level
124								11 минут пешком	ЮАО	р-н Донской	м. Тульская	12000000	350877		MadeState
125								10 минут пешком	ЦАО	р-н Пресненский	м. Баррикадная	22000000	694006		Intermark Real Estate - ранее Savills - городская недвижимость
126								16 минут пешком	ЦАО	р-н Басманный	м. Бауманская	5990000	311979		ИМПЕРИАЛ
127	1	32,7	2	17	F	ЖК «Графика на воде»	сдача ГК: 3 кв. 2024 года	10 минут пешком	ЮВАО	р-н Печатники	м. Перерва	9509160	290800		МИЦ
128						ЖК «Символ»		14 минут пешком	ЮВАО	р-н Лефортово	м. Площадь Ильича	18900000	420000		Арт Риэлти
129						ЖК «TWICE»		20 минут пешком	ЗАО	р-н Кунцево	м. Молодёжная	23815186	499270		VSN Realty
130	1	36,6	4	7	F			15 минут пешком	ЦАО	р-н Басманный	м. Бауманская	13490000	368579		ЕГСН Продажа
131						ЖК «Символ»		15 минут пешком	ЮВАО	р-н Лефортово	м. Авиамоторная	13490000	449667		Chase R.E.S.
132	1	33,4	2	3	A	ЖК «Апартаменты Берег Яузы»	дом сдан	6 минут пешком	ВАО	р-н Преображенское	м. Преображенская площадь	9352000	280000	С отделкой	Хлебозавод 9
133						ЖК «КутузовGRAD I»		4 минуты на транспорте	ЗАО	р-н Можайский	м. Кунцевская	14990000	390365		Century 21 Level
134	1	41	16	25	F	ЖК «Вестердам»		12 минут пешком	ЗАО	р-н Очаково-Матвеевское	м. Аминьевская	13700000	334146		TimeProperty
135						ЖК «Апарт-отель YE’S»		9 минут пешком	СЗАО	р-н Митино	м. Митино	7100000	244828		Князев и Партнёры
136	1	35,2	9	12	F			6 минут на транспорте	СЗАО	р-н Южное Тушино	м. Сходненская	10100000	286932		ЕГСН Продажа
137						ЖК «Wellton Towers»		8 минут пешком	СЗАО	р-н Хорошево-Мневники	м. Народное Ополчение	19400000	570588		Иван Нестеров
138								17 минут пешком	СЗАО	р-н Покровское-Стрешнево	м. Трикотажная	6192000	375273		ИМПЕРИАЛ
139								15 минут пешком	ЗАО	р-н Тропарево-Никулино	м. Юго-Западная	6508000	312885		ХОРЕКА ИНВЕСТ
140						ЖК «Город daily»	сдача ГК: 3 кв. 2023 года	14 минут пешком	САО	р-н Дмитровский	м. Яхромская	6950000	197163	С отделкой	ID 101100013
141						ЖК «Прайм Парк»		12 минут пешком	САО	р-н Хорошевский	м. Динамо	28450000	693902		ALVO Group
142	1	39,1	13	44	F	ЖК «Sydney City»	сдача ГК: 2 кв. 2023 года	20 минут пешком	СЗАО	р-н Хорошево-Мневники	м. Хорошёво	17500000	447570	С отделкой	ФСК Агент
143	1	44,4	9	36	F	ЖК «Сердце Столицы»		20 минут пешком	СЗАО	р-н Хорошево-Мневники	м. Шелепиха	24800000	558559		ID 92534894
144								10 минут пешком	СВАО	р-н Северное Медведково	м. Медведково	9200000	278788		ID 102136095
145								4 минуты на транспорте	САО	р-н Западное Дегунино	м. Яхромская	9700000	255263		Городские квартиры
146	1	36	9	12	F			19 минут пешком	ВАО	р-н Перово	м. Перово	8600000	238889		Бест-Пресня
147								2 минуты пешком	СВАО	р-н Северное Медведково	м. Медведково	8950000	255714		Бест-Пресня
148	1	43,9	4	22	F	ЖК «ЗИЛАРТ»	сдача ГК: 2 кв. 2023 года	9 минут пешком	ЮАО	р-н Даниловский	м. ЗИЛ	23000000	523918		Estes
149								11 минут пешком	СВАО	р-н Останкинский	м. Алексеевская	7500000	480769		Бест офис на Таганской
150	1	31,7	5	23	F	ЖК «Квартал Некрасовка»		15 минут пешком	ЮВАО	р-н Некрасовка	м. Некрасовка	8250000	260252		ID 100094464
151	1	22,9	13	21	F	ЖК «Тринити-2»	сдача ГК: 3 кв. 2023 года	6 минут пешком	САО	р-н Западное Дегунино	м. Верхние Лихоборы	8250000	360262	С отделкой	Людмила Соболева
152	1	38,5	5	25	F	ЖК «Некрасовка»		14 минут пешком	ЮВАО	р-н Некрасовка	м. Некрасовка	8460350	219749		СТРОЙИНВЕСТ
153	1	38,5	2	25	F	ЖК «Некрасовка»		14 минут пешком	ЮВАО	р-н Некрасовка	м. Некрасовка	8290950	215349		СТРОЙИНВЕСТ
154	1	39,9	18	25	F	ЖК «Некрасовка»		14 минут пешком	ЮВАО	р-н Некрасовка	м. Некрасовка	9130180	228827		СТРОЙИНВЕСТ
155						ЖК «Wellton Towers»		10 минут пешком	СЗАО	р-н Хорошево-Мневники	м. Народное Ополчение	20800000	554667		Century 21 Street Realty
156								7 минут пешком	ЮЗАО	р-н Котловка	м. Крымская	12500000	416667		ID 515728
157						ЖК «Wellton Towers»		10 минут пешком	СЗАО	р-н Хорошево-Мневники	м. Народное Ополчение	18500000	431235		Century 21 Street Realty
158						ЖК «Wellton Towers»		10 минут пешком	СЗАО	р-н Хорошево-Мневники	м. Народное Ополчение	16000000	551724		Century 21 Street Realty
159	1	46,4	15	21	A	ЖК «Апарт-комплекс Нахимов»		3 минуты на транспорте	ЮЗАО	р-н Черемушки	м. Зюзино	12500000	269397		СТРОЙИНВЕСТ
160	1	34,34	3	55	F	ЖК «Mod»		8 минут пешком	СВАО	р-н Марьина роща	м. Марьина Роща	13235500	385425		Contact Real Estate
161								4 минуты пешком	ВАО	р-н Богородское	м. Бульвар Рокоссовского	3840000	168421		ID 80301916
162								7 минут пешком	ВАО	р-н Богородское	м. Бульвар Рокоссовского	3900000	169565		ИМПЕРИАЛ
163								4 минуты пешком	ЮЗАО	р-н Зюзино	м. Каховская	13650000	401471		Эльвира Чижикова
164						ЖК «Wellton Towers»		9 минут пешком	СЗАО	р-н Хорошево-Мневники	м. Народное Ополчение	14500000	453125		Арт Риэлти
165						ЖК «Wellton Towers»		9 минут пешком	СЗАО	р-н Хорошево-Мневники	м. Народное Ополчение	16500000	392857		Арт Риэлти
166								9 минут пешком	ВАО	р-н Богородское	м. Бульвар Рокоссовского	5940000	401351		ИМПЕРИАЛ
167	1	32,5	3	9	F			8 минут пешком	САО	р-н Тимирязевский	м. Окружная	8250000	253846		Бест-Пресня
168	1	38,9	11	12	F			5 минут на транспорте	СВАО	р-н Южное Медведково		10500000	269923		Самолет Плюс Москва ЦАО
169						ЖК «Метрополия»		2 минуты пешком	ЮВАО	р-н Южнопортовый	м. Угрешская	14371000	294488		Артём Рихтер
170	1	41	14	30	F	ЖК «Fresh»		5 минут пешком	ЮАО	р-н Зябликово	м. Красногвардейская	16700000	407317		do A.S.A.P.
171	1	37.2	9	17	F			1 минута пешком	ЮВАО	р-н Выхино-Жулебино	м. Косино	10000000	268817		Homeapp
172	1	43,2	12	18	F	ЖК «Бунинские луга»		11 минут на транспорте	НАО (Новомосковский)		м. Коммунарка	9200000	212963		One Life
173	1	38,39	14	25	F	ЖК «Светлый мир Станция Л»	сдача ГК: 4 кв. 2024 года	3 минуты на транспорте	ЮВАО	р-н Люблино	м. Марьино	8405491	218950	С отделкой	ID 101904221
174	1	47,2	4	21	F	ЖК «СОЮЗ»		9 минут пешком	СВАО	р-н Ростокино	м. Ботанический сад	21109600	447237		Группа Родина
175	1	41,78	12	14	F	ЖК «Headliner»	сдача ГК: 2 кв. 2024 года	3 минуты пешком	ЦАО	р-н Пресненский	м. Шелепиха	20890000	500000		КОРТРОС
176								5 минут пешком	ЮВАО	р-н Текстильщики	м. Волжская	3500000	291667		Константин Кудрявцев
177	1	52	13	26	F	ЖК «Балаклавский проспект, 15»		12 минут пешком	ЮАО	р-н Чертаново Северное	м. Чертановская	14000000	269231		Estes
178						ЖК «Город daily»	сдача ГК: 3 кв. 2023 года	14 минут пешком	САО	р-н Дмитровский	м. Яхромская	6950000	197163	С отделкой	ID 101100013
